CaseLocation,Expenses,LengthAbandoned
1206 S 23RD ST,1327.55,1481
1206 S 41ST ST,442.29,586
1207 S 22ND ST,2134.95,872
1207 S PRESTON ST,0,717
1207 SEELBACH AVE,78.65,1265
1208 CENTRAL AVE,569.8199999999999,836
1208 GILMORE LN,547.2,1033
1208 MORGAN AVE,1052.5,1474
1209 S 22ND ST,1163.75,1123
1209 S 23RD ST,1685.8,1465
1209 S 6TH ST,0,851
121 BONNIE LN,0,817
121 FREEMAN AVE,0,327
121 OTTAWA AVE,336.75,831
121 S 42ND ST,364.75,1123
121 W FAIRMONT AVE,0,-Inf
121 WILLIAM ST,0,761
1210 DAHL RD,0,705
1210 E BURNETT AVE,204,1156
1210 ELLISON AVE,436,1090
1210 S 15TH ST,5017.65,1527
1210 SALE AVE,1396.53,1537
1210 TENNESSEE AVE,4025.52,1517
1210 WELLER AVE,1084.88,1284
1211 BATES AVE,443,1452
1211 BROOKLINE AVE,0,1552
1211 S 41ST ST,324.75,47
1212 DRESDEN AVE,95.75,1389
1212 LONGFIELD AVE,0,654
1212 S 15TH ST,344.5,233
1212 S PRESTON ST,0,1417
1213 S PRESTON ST,327.75,1417
1214 AFTERGLOW CT,1961.19,1194
1214 DRESDEN AVE,3935.36,1500
1214 E BURNETT AVE,656.7,80
1214 HUNTINGTON LN,62.5,432
1214 LOGAN ST 1,0,1538
1214 S JACKSON ST,1439,1320
1214 WALTER AVE,417.25,30
1215 DRESDEN AVE,0,-Inf
1215 S 16TH ST,0,1556
1216 BICKNELL AVE,62.5,116
1216 HOMEVIEW DR,0,-Inf
1216 PIGEON PASS RD,0,766
1216 S 15TH ST,4582.23,1527
1216 S 16TH ST,1580.25,676
1216 VIM DR,829.5,1208
1217 KRUPP PARK DR,304.5,801
1218 BURNWICK CT,125,5
1218 CENTRAL AVE,1081.5,1494
1218 PAYNE ST,216.5,1129
