CaseLocation,DateAbandoned,Expenses,PARCELID,ZIP
3413 W KENTUCKY ST,2014-05-30,281.5,NA,NA
3415 SHAGBARK RD 1,2013-07-09,671.52,NA,NA
3417 SHAGBARK RD 1,2013-07-18,251.38,NA,NA
3419 SHAGBARK RD 1,2014-02-18,0,NA,NA
342 N 24TH ST,2014-07-07,871.75,NA,NA
3439 VIRGINIA AVE,2017-04-25,910.5,NA,NA
344 N 24TH ST,2014-07-07,493.61,NA,NA
3443 ALGONQUIN PKY,2015-06-22,363.97,NA,NA
346 N 24TH ST,2014-07-07,329.5,NA,NA
348 N 24TH ST,2014-07-07,660.79,NA,NA
350 N 24TH ST,2014-07-07,1097.13,NA,NA
351 SOUTHWESTERN PKY,2016-04-19,1417,NA,NA
3514 CANE RUN RD,2015-12-29,294.75,NA,NA
3514 W MARKET ST 100,2017-07-10,0,NA,NA
3516 ALGONQUIN PKY,NA,0,NA,NA
3518 GEORGETOWN PL 1,NA,0,NA,NA
352 N 24TH ST,2014-07-07,898.26,NA,NA
3524 NORTHWESTERN PKY,2013-10-23,3107.05,NA,NA
3525 GEORGETOWN PL 1,2013-12-30,2820.25,NA,NA
3529 NORTHWESTERN PKY,NA,0,NA,NA
3601 GEORGETOWN PL 1,2013-12-30,3094,NA,NA
3603 GEORGETOWN PL 1,2015-01-06,0,NA,NA
3603 W MARKET ST 1,2013-07-10,3842.3,NA,NA
3612 GEORGETOWN PL 1,2016-08-01,304.5,NA,NA
3621 NORTHWESTERN PKY,2015-06-16,472.75,NA,NA
